NPA_ID,LOCATION,COUNTRY,TIME_ZONE
200,,,
201,NJ,US,E
202,DC,US,E
203,CT,US,E
204,MANITOBA,CANADA,C
205,AL,US,C
206,WA,US,P
207,ME,US,E
208,ID,US,MP
209,CA,US,P
210,TX,US,C
212,NY,US,E
213,CA,US,P
214,TX,US,C
215,PA,US,E
216,OH,US,E
217,IL,US,C
218,MN,US,C
219,IN,US,EC
220,OH,US,E
221,,,
222,,,
223,PA,US,E
224,IL,US,C
225,LA,US,C
226,ONTARIO,CANADA,E
227,MD,US,E
228,MS,US,C
229,GA,US,E
230,,,
231,MI,US,E
232,,,
233,,,
234,OH,US,E
235,,,
236,BRITISH COLUMBIA,CANADA,P
237,,,
238,,,
239,FL,US,E
240,MD,US,E
241,,,
242,BAHAMAS,BAHAMAS,E
243,,,
244,,,
245,,,
246,BARBADOS,BARBADOS,A
247,,,
248,MI,US,E
249,ONTARIO,CANADA,E
250,BRITISH COLUMBIA,CANADA,P
251,AL,US,C
252,NC,US,E
253,WA,US,P
254,TX,US,C
255,,,
256,AL,US,C
257,,CANADA,
258,,,
259,,,
260,IN,US,E
261,,,
262,WI,US,C
263,,CANADA,
264,ANGUILLA,ANGUILLA,A
265,,,
266,,,
267,PA,US,E
268,ANTIGUA/BARBUDA,ANTIGUA/BARBUDA,A
269,MI,US,E
270,KY,US,EC
271,,,
272,PA,US,E
273,,CANADA,
274,WI,US,C
275,,,
276,VA,US,E
277,,,
278,,,
279,CA,US,P
280,,,
281,TX,US,C
282,,,
283,OH,US,E
284,BRITISH VIRGIN ISLANDS,BRITISH VIRGIN ISLANDS,A
285,,,
286,,,
287,,,
288,,,
289,ONTARIO,CANADA,E
300,,,
301,MD,US,E
302,DE,US,E
303,CO,US,M
304,WV,US,E
305,FL,US,E
306,SASKATCHEWAN,CANADA,C
307,WY,US,M
308,NE,US,CM
309,IL,US,C
310,CA,US,P
312,IL,US,C
313,MI,US,E
314,MO,US,C
315,NY,US,E
316,KS,US,C
317,IN,US,E
318,LA,US,C
319,IA,US,C
320,MN,US,C
321,FL,US,E
322,,,
323,CA,US,P
324,,,
325,TX,US,C
326,,,
327,AR,US,C
328,,,
329,,,
330,OH,US,E
331,IL,US,C
332,NY,US,E
333,,,
334,AL,US,C
335,,,
336,NC,US,E
337,LA,US,C
338,,,
339,MA,US,E
340,USVI,US,A
341,,US,
342,,,
343,ONTARIO,CANADA,
344,,,
345,CAYMAN ISLANDS,CAYMAN ISLANDS,E
346,TX,US,C
347,NY,US,E
348,,,
349,,,
350,,,
351,MA,US,E
352,FL,US,E
353,,US,
354,,CANADA,
355,,,
356,,,
357,,,
358,,,
359,,,
360,WA,US,P
361,TX,US,C
362,,,
363,,,
364,KY,US,EC
365,ONTARIO,CANADA,E
366,,,
367,QUEBEC,CANADA,E
368,,CANADA,
369,,US,
380,OH,US,E
381,,,
382,,CANADA,
383,,,
384,,,
385,UT,US,M
386,FL,US,E
387,,CANADA,
388,,,
389,,,
400,,,
401,RI,US,E
402,NE,US,C
403,ALBERTA,CANADA,M
404,GA,US,E
405,OK,US,C
406,MT,US,M
407,FL,US,E
408,CA,US,P
409,TX,US,C
410,MD,US,E
412,PA,US,E
413,MA,US,E
414,WI,US,C
415,CA,US,P
416,ONTARIO,CANADA,E
417,MO,US,C
418,QUEBEC,CANADA,E
419,OH,US,E
420,,,
421,,,
422,,,
423,TN,US,EC
424,CA,US,P
425,WA,US,P
426,,,
427,,,
428,,CANADA,
429,,,
430,TX,US,C
431,MANITOBA,CANADA,
432,TX,US,C
433,,,
434,VA,US,E
435,UT,US,M
436,,,
437,ONTARIO,CANADA,E
438,QUEBEC,CANADA,E
439,,,
440,OH,US,E
441,BERMUDA,BERMUDA,A
442,CA,US,P
443,MD,US,E
444,,,
445,PA,US,E
446,,,
447,IL,US,C
448,,,
449,,,
450,QUEBEC,CANADA,E
451,,,
452,,,
453,,,
454,,,
455,,,
456,NANP AREA,,E
457,,,
458,OR,US,MP
459,,,
460,,CANADA,
461,,,
462,,,
463,IN,US,E
464,IL,US,C
465,,,
466,,,
467,,,
468,,CANADA,
469,TX,US,C
470,GA,US,E
471,,,
472,,,
473,GRENADA,GRENADA,A
474,,CANADA,
475,CT,US,E
476,,,
477,,,
478,GA,US,E
479,AR,US,C
480,AZ,US,M
481,,,
482,,,
483,,,
484,PA,US,E
485,,,
486,,,
487,,CANADA,
488,,,
489,,,
500,NANP AREA,,E
501,AR,US,C
